's Gravenbrakel	's  Gravenbrakel
's Gravenvoeren	's  gravenvoeren
's Gravenwezel	's  Gravenwezel
's Herenelderen	's  Herenelderen
Aa en Hunze	Aa e Hunze	A-a en Hunze
Abel Tasman	
Aboe Simbel	
Abraham Kuyper	Abraham Kuijper
Abraham Lincoln	
Abu Dhabi	Aboe Dhabi
Addis Abeba	Ad dis Abeba
Addis Abebaër	Ad dis Abebaër
Addis Abebiet	Ad dis Abebiet
Addis Abebitisch	Ad dis Abebitisch
Adolf Hitler	
Adriatische Zee	Adriatische Zeen
Afrikaans Schild	Afrikaans Schilt
Agatha Christie	Agatha Christien	Agatha Christy	Agatha Christi
Agnus Dei	Agnus Die	Agnus Dij
Albanese Alpen	
Albert Einstein	
Albert Schweitzer	
Aletta Jacobs	Aletta Jakobs
Alexander de Grote	Alenxander de Grote	Alexandenr de Grote	Alexander den Grote	Alexandërs de Grote	Allexander de Grote	Alexandder de Grote	Aleksander de Grote	Alijxander de Grote	Alexandijr de Grote	Alexander dij Grote	Aleczander de Grote	Alaixander de Grote	Alexandair de Grote	Alexandeder de Grote
Alfred Nobel	
Alphen aan den Rijn	Alphe aan den Rijn	Alphen aan de Rijn	Alphen a-an den Rijn	Alphenn aan den Rijn	Allphen aan den Rijn	Alphen aan den Rijn	Alphijn aan den Rijn	Alphen aan dijn Rijn	Alphen aan den Rein	Alfen aan den Rijn	Alphain aan den Rijn	Alphen aan deden Rijn
Ambt Montfort	Ambt Mondfort
Amerikaanse Maagdeneilanden	
Amu Darja	
Anatolisch Hoogland	
Andamanse Zee	Andamanse Zeen
Andorra la Vella	Anddorra la Vella	Andeaurra la Vella
Anna Paulowna	
Anne Frank	Anne Franc	Annen Frank
Annie M.G. Schmidt	Anni-e M.G. Schmidt	Annien M.G. Schmidt	Anniet M.G. Schmidt	Anniij M.G. Schmidt	Anny M.G. Schmidt	Anny' M.G. Schmidt	Anniai M.G. Schmidt	Anni M.G. Schmidt
Antarctisch Schiereiland	
Antigua en Barbuda	Antigua e Barbuda	Anthigua en Barbuda	Antigoea en Barbuda	Antichua en Barbuda	Andigua en Barbuda	Antigija en Barbuda	Antiggeua en Barbuda
Anton Pieck	Anthon Pieck
Apennijns Schiereiland	Apennijns Schiereiland
Aquitaanse Poort	
Arabisch Bekken	Arabisch Bekke
Arabische Woestijn	Arabische Woestijn
Arabische Zee	Arabische Zeen
Arcen en Velden	Arssen En velden	Arken En velden	Arcenn En velden	Arcen En velde	Arcen E velden	Arce En velden	Arcain En velden	Arcen En vijlden	Arcijn En velden
Argentijns Bekken	Argentijns Bekken	Argentijns Bekke
Armoricaans Massief	
Arthur Conan Doyle	Arthhur Conan Doyle	Arthoer Conan Doyle	Ardhur Conan Doyle	Arthijr Conan Doyle
Asturisch-Cantabrisch Gebergte	Asturisch-Cantabrisch Gebergten
Atlantisch-Indisch-Antarctisch Bekken	Atlantisch-Indisch-Antarctisch Bekke	Atlantisch-Indisch-Antarctisch
Atlantisch-Indische Rug	Atlantisch-Indische
Atlantische Kustvlakte	Atlantische Kustvlakten
Atlantische Oceaan	
Auguste Rodin	
Australische Alpen	
Ayaan Hirsi Ali	Aya-an Hirsi Ali	Aijaan Hirsi Ali
Ayatollah Khomeini	
Ayers Rock	
Baai van Kotor	Bae van Kotor	Ba-ai van Kotor	Baa-i van Kotor
Baai van Mont-Saint-Michel	Bae van Mont-Saint-Michel	Ba-ai van Mont-Saint-Michel	Baa-i van Mont-Saint-Michel
Baai van Peter de Grote	Baai van Pether de Grote	Bae van Peter de Grote	Ba-ai van Peter de Grote	Baa-i van Peter de Grote	Baai van Petter de Grote	Baai van Penter de Grote	Baai van Petenr de Grote	Baai van Peter den Grote	Baai van Petërs de Grote	Baai van Pijter de Grote	Baai van Petijr de Grote	Baai van Peter dij Grote	Baai van Peder de Grote	Baai van Paiter de Grote
Baai van Sint-Michiel	Bae van Sint-Michiel	Ba-ai van Sint-Michiel	Baa-i van Sint-Michiel
Bab el Mandeb	Bab ijl Mandeb
Balthasar Gerards	
Banater Gebergte	Banater Gebergten
Banda Aceh	
Bandar Abbas	Bandar Abba's
Bandar Seri Begawan	Banddar Seri Begawan
Barbarijse Hoogvlakte	Barbarijse Hoogvlakte	Barbarijse Hoogvlakten
Baruch de Spinoza	Baruch den Spinoza	Baroech de Spinoza	Barukh de Spinoza	Barussh de Spinoza	Baruch dij Spinoza	Barijch de Spinoza	Barug de Spinoza
Baskische Provincies	
Bataafse Republiek	
Beierse Alpen	
Beierse Hoogvlakte	Beierse Hoogvlakten
Beierse Woud	Beierse Wout
Bekken van Parijs	Bekke van Parijs	Benkken van Parijs	Bekkenn van Parijs	Bektjen van Parijs	Bekken van Parijs	Bijkken van Parijs	Bekkijn van Parijs	Bequken van Parijs	Bekquen van Parijs	Beccen van Parijs	Beccken van Parijs	Bekccen van Parijs	Baikken van Parijs	Bekkain van Parijs	Becken van Parijs
Benedenwindse Eilanden	
Benedictus de Spinoza	Beedictus de Spinoza	Benedicthus de Spinoza	Benedictuss de Spinoza	Bennedictus de Spinoza	Benendictus de Spinoza	Benedictus den Spinoza	Benedictoes de Spinoza	Beneddictus de Spinoza	Benediktus de Spinoza	Benedisstus de Spinoza	Bijnedictus de Spinoza	Benijdictus de Spinoza	Benedictus dij Spinoza	Benedicdus de Spinoza	Benedictijs de Spinoza
Benito Mussolini	
Bergen op Zoom	Bijrgen Op zoom	Bërsgen Op zoom	Bergenn Op zoom	Benrgen Op zoom	Berge Op zoom	Berggeen Op zoom	Bergain Op zoom	Bairgen Op zoom	Berchen Op zoom	Bergijn Op zoom
Berkel en Rodenrijs	Berkel e Rodenrijs	Benrkel en Rodenrijs	Berkenl en Rodenrijs	Bërskel en Rodenrijs	Berkell en Rodenrijs	Bertjel en Rodenrijs	Berkel en Rodenrijs	Bijrkel en Rodenrijs	Berkijl en Rodenrijs	Berquel en Rodenrijs	Berccel en Rodenrijs	Bairkel en Rodenrijs	Berkail en Rodenrijs	Bercel en Rodenrijs
Bernadette Soubirous	
Bill Clinton	
Bill Gates	
Blauwe Nijl	Blauwen Nijl	Blauwe Nijl	Blauwe Neil
Blauwe Rivier	Blauwen Rivier
