11 julifeesten	
11 julivieringen	
11 septemberaanslagen	septemberaanslagen
21 julivieringen	
Ave Maria's	Ave Maria
Ave Mariaatje	
Ave Mariaatjes	
Costa Ricanen	Costa Ricaans
Eerste Kamerfracties	Eersten Kamerfracties	Eerste Kamerfracties
Eerste Kamerleden	Eersten Kamerleden	Eerste Kamerleden
Guinese biggetjes	
Irish coffees	
Lodewijk XV-meubels	Lodewijk XV-meubels
Maltezer leeuwtjes	
Middellandse Zeelanden	
New Yorkers	
New Yorkse	
Porto Ricaanse	Puerto Ricaanse
Porto Ricanen	
Puerto Ricanen	Puerto Ricaans
Rode Kruisposten	Roden Kruisposten
Saint Luciaanse	
Sri Lankaanse	
Sri Lankanen	
Temmincks strandlopers	
Tweede Kamercommissies	Tweeden Kamercommissies	 tweede Kamercommissies	Tweede Kamercommissies
Tweede Kamerfracties	Tweeden Kamerfracties	 tweede Kamerfracties	Tweede Kamerfracties
Tweede Kamerleden	Tweeden Kamerleden	 tweede Kamerleden	Tweede Kamerleden
Vlaamse kermissen	
a priori's	
ad remme	ad  remme	ad remmen
af te zonderen	af ten zonderen	af tij zonderen	af de zonderen	af tai zonderen
als Brugman	als  Brugman	als Bruggeman
au pairs	au pers
bals masqués	
bedde in	bedden in
black boxen	black boksen
bloody mary's	
bon mots	bont mots
bon vivants	bont vivants
bonnes bouches	
boordde af	boordden af
bouwde herop	bouwden herop
braamde af	braamden af
bracht heruit	heruitgebracht
brave hendriken	
buikte uit	beukte uit
café chantants	
cafés noirs	
chaises longues	
chefs d'équipe	
civiel ingenieurs	
cold cases	
collect calls	
compact discs	compact disks
daarbij behorende	daarbij behorende	daarbij bijhorende
danses macabres	
deemsterde weg	deemsterde wegge
dei ex machina	de-i ex machina	deni ex machina	ddei ex machina	diji ex machina	dij ex machina	daii ex machina	dedei ex machina	die ex machina
democratisch socialisten	democratisch socialiste
diste op	
docking stations	docking stadions
dolle mina's	dolle mina	dollen mina's
déjà vu's	
déjà vuutje	
easy riders	easy ridders
eau de toiletteje	ea-u de toiletteje	enau de toiletteje	eau den toiletteje	eaoe de toiletteje	ijau de toiletteje	eau dij toiletteje	eaij de toiletteje	aiau de toiletteje
eaux de cologne	ea-ux de cologne	enaux de cologne	eaux den cologne	eaoex de cologne	eauks de cologne	ijaux de cologne	eaux dij cologne	eaijx de cologne	eaucz de cologne	aiaux de cologne
eaux de toilette	ea-ux de toilette	enaux de toilette	eaux den toilette	eaux de toiletten	eaoex de toilette	eauks de toilette	ijaux de toilette	eaux dij toilette	eaijx de toilette	eaucz de toilette	aiaux de toilette
enfants terribles	
ex librissen	
ex voto's	
ex votootje	
fadede uit	uitfadede
fancy fairs	
fata morgana's	fata morgana
femmes fatales	
free kicks	freeskicks
full houses	
gaf heruit	
gas- en lichtrekeningen	gas- e lichtrekeningen	gass- en lichtrekeningen	chas- en lichtrekeningen	gasch- en lichtrekeningen	ggeas- en lichtrekeningen
gekke henkies	gekken henkies
golden retrievers	
gothic novels	
granny smiths	
hare krisjna's	hare krisjna	haren krisjna's
hepatitis B-injecties	hepatitis-B-injecties	hepatitistb-injecties
hitste aan	hitsten aan
hitste op	hitsten op
hystera protera	
hysteron proterons	
in de luren	in den luren	in de loeren	in dij luren
in stand gehouden	
in- en ingemene	in- e ingemene
jack russells	
joint ventures	
juinde op	
junior managers	
koffies verkeerd	koffies verkeert
kort gedingen	
latin lovers	
mastino napoletano's	
mavo 4-leerlingen	mavo-4-leerlingen
maîtres d'hôtel	
militant nationalistische	
moleculair biologen	moleculair biologe
native speakers	
peigerde af	
pepte op	pepten op	pijpte op
perpetua mobilia	
perpetuum mobile's	
personal computers	
petit restaurants	
practical jokes	
premie A-woningen	premie-A-woningen
rarae aves	
rectores magnifici	
remedial teachers	
richtte herop	richtten herop
rijfde binnen	rijfde binnen
running gags	
running mates	running mades
salto mortale's	saldo mortale's
salto mortales	saldo mortales
seilde ab	
selffulfilling prophecy's	
short story's	
slankte af	
slecht verlichte	slecht verlichtte	slecht verlichten
sociaal geneeskundigen	sociaal geneeskundige
sociaal geografen	sociaal geografe
sociaal psychologen	sociaal psychologe
stille willies	stillen willies
teeg aan	te eg aan	deeg aan
terug geweest	te rug geweest
top tienen	dop tienen	top dienen
tot stand gekomen	thot stand gekomen	toth stand gekomen	dot stand gekomen	tod stand gekomen	teaut stand gekomen
trad herin	
truggelde af	afgetruggeld
uit gegeten	uitgegeten
ver verwijderde	ver verwijderden	ver verwijderde	vair verwijderde
vlijtige liesjes	vlijtige liesjes
voedde herop	voedden herop
vrij gevestigde	vrij gevestigden	vrij gevestigde	vrijgevestigde
zitting hebbende	
zond heruit	
zorg gedragen	
éminences grises	
één duizendste	een  duizendste	enen duizendste	een duizendsten
