's anderendaags	's  anderendaags
's avonds	's  avonds
's middags	's  middags
's nachts	's  nachts
's ochtends	's  ochtends
't is dief en diefjesmaat	't is dief e diefjesmaat	'th is dief en diefjesmaat	't is di-ef en diefjesmaat	't iss dief en diefjesmaat	't is dienf en diefjesmaat	't is ddief en diefjesmaat	't is diijf en diefjesmaat	'd is dief en diefjesmaat	't isch dief en diefjesmaat	't is dyf en diefjesmaat	't is dy'f en diefjesmaat	't is diaif en diefjesmaat	't is dif en diefjesmaat
1 aprilgek	
1 aprilgrap	aprilgrap
1 aprilmop	
11 julifeest	
11 juliviering	
21 juliviering	
24 uursdienst	
24 uurseconomie	
24 uursservice	
5 meiherdenking	5 mieherdenking	meiherdenking
5 meiviering	5 mieviering	meiviering
8 uurjournaal	uurjournaal
Al Qaida	All Qaida
American football	
Ardenner ham	
Ardense hesp	
Bosnië en Herzegovina	Bosnië e Herzegovina	Bossnië en Herzegovina	Boschnië en Herzegovina	Beausnië en Herzegovina
Botnische Golf	
Bovenwindse Eilanden	
Britse Eilanden	Britsen Eilanden
Canarische Eilanden	
Champions League	
Champions Leaguewedstrijd	Champions Leaguewedstrijd
Christian Science	Christian-scientist
Costa Ricaan	Costa Ricaans	Costa Rica
Den Bosch	De Bosch	Dijn Bosch	Deden Bosch
Den Haag	De Haag	Deden Haag	Dijn Haag
Dode Zeerollen	Dodde Zeerollen	Doden Zeerollen
Dolle Mina	Dollen Mina
Don Juan	Donjuan
Don Quichot	Donquichot
Downing Street	Downing Streed
Eerste Kamerfractie	Eersten Kamerfractie	Eerste Kamerfractie
Eerste Kamerlid	Eersten Kamerlid	Eerste Kamerlid
Eerste Kamervoorzitter	Eersten Kamervoorzitter	Eerste Kamervoorzitter
El Salvador	Ell Salvador	IJl Salvador
Frans Jozefland	
Golf van Biskaje	Gollf van Biskaje	Geaulf van Biskaje	Cholf van Biskaje	Ggeolf van Biskaje
Guinees biggetje	
Hof van Cassatie	Heauf Van cassatie
Hoge Raad	Hoge Raat	Hogen Raad
Iberisch Schiereiland	
Indian summer	
Irish coffee	
Jan Klaassen	Jan Klaasse	Janklaassen
Jut en Jul	Jut En joel	Jut e Jul	Juth en Jul	Joet en Jul	Jud en Jul	Jijt en Jul	IJut en Jul
Keti Koti	
Klein Duimpje	Klijn Duimpje	Kleinduimpje
Kol Nidrei	Col Nidrei
Land van Kokanje	Landd van Kokanje	Lland van Kokanje
Lodewijk XV-meubel	Lodewijk XV-meubel
Magere Hein	Magere Hien
Maltezer kruis	
Maltezer leeuwtje	
Middellandse Zee	Middellandse Zeen
Middellandse Zeegebied	Middellandse Zeegebit
Middellandse Zeekust	
Middellandse Zeeland	
Mont Blancbeklimming	Mont Blankbeklimming	Mond Blancbeklimming
Nauw van Calais	Na-uw van Calais	Naoew van Calais	Naijw van Calais
Nederlandse Antillen	
New York	
New Yorker	
New Yorks	
Nova Zembla	
Porto Ricaan	
Porto Ricaans	
Porto Rico	Portorico
Puerto Ricaan	Puerto Ricaans	Puerto Rica
Puerto Rico	Puerto Rica
Queen Annestijl	Queen Annestijl	Keen Annestijl	Kween Annestijl	Ken Annestijl
Rode Duivelswedstrijd	Rode Duivelswedstrijd	Roden Duivelswedstrijd
Rode Kruispost	Roden Kruispost
Rosj Hasjana	
San Andreasbreuk	
San Marinees	
San Marino	
Schotse Hooglanden	Schotsen Hooglanden
Simchat Thora	
Sri Krisjna	
Sri Lanka	
Sri Lankaan	
Sri Lankaans	
Stille Oceaangebied	Stille Oceaangebit	Stillen Oceaangebied
Sturm und Drang	Stijrm Und drang	Sdurm Und drang	Stoerm Und drang	Sthurm Und drang	Schturm Und drang	Ssturm Und drang
Temmincks strandloper	
Tour de France	To-ur de France	Tour den France	Tooer de France	Tour de Franke	Tour dij France	Toijr de France	Teauur de France	Thour de France	Dour de France
Tweede Kamer	Tweeden Kamer	 tweede kamer
Tweede Kamercommissie	Tweeden Kamercommissie	 tweede Kamercommissie	Tweede Kamercommissie
Tweede Kamerfractie	Tweeden Kamerfractie	 tweede Kamerfractie	Tweede Kamerfractie
Tweede Kamergebouw	Tweeden Kamergebouw	 tweede Kamergebouw	Tweede Kamergebouw
Tweede Kamerlid	Tweeden Kamerlid	 tweede Kamerlid	Tweede Kamerlid
Tweede Kamerlidmaatschap	Tweeden Kamerlidmaatschap	 tweede Kamerlidmaatschap	Tweede Kamerlidmaatschap
Tweede Kamervoorzitter	Tweeden Kamervoorzitter	 tweede Kamervoorzitter	Tweede Kamervoorzitter
Vlaamse kermis	
Witte Huiswoordvoerder	Witten Huiswoordvoerder
Zaanse klok	
Zwarte Zeevloot	Zwarten Zeevloot	Zwartte Zeevloot
a capella	capella
a fortiori	
a posteriori	posteriori
a prima vista	
a priori	
a vista	
aan den lijve	aan de lijve	a-an den lijve	aan den lijven	aan den lijve	aan dijn lijve	aan deden lijve
aan weerszijden	aan weerszijde	aan weerszijden
aanw. vnw.	
abortus provocatus	
accent aigu	
accent circonflexe	
accent grave	accent graven
acid house	acid housen
ad fundum	ad  fundum
ad hoc	ad  hoc	ad hok
ad hominem	ad  hominem
ad interim	ad  interim
ad rem	ad  rem	ad rijm
ajam pangang	
al dente	all dente
algemeen directeur	algemenen directeur
algemeen secretaris	algemenen secretaris
algemene gaswet	algemenen gaswet
all right	
alle drie	allen drie
alma mater	alma matter
als de wiedeweerga	als  de wiedeweerga	alss de wiedeweerga	als den wiedeweerga	alls de wiedeweerga	als dij wiedeweerga	alsch de wiedeweerga
alter ego	alter echo
angina pectoris	
anno Domini	
anorexia nervosa	
art deco	
art nouveau	
assistent in opleiding	assistet in opleiding	assisthent in opleiding	assistenth in opleiding	assisttent in opleiding	asssistent in opleiding	assisstent in opleiding	assistennt in opleiding	assistijnt in opleiding	assisdent in opleiding	assistend in opleiding	aschsistent in opleiding	asschistent in opleiding	assischtent in opleiding
au bain-marie	au ben-marie
au pair	au per
auctor intellectualis	
auto van de zaak	autho van de zaak	a-uto van de zaak	auto van den zaak	aoeto van de zaak	auto van dij zaak	audo van de zaak	aijto van de zaak	auteau van de zaak
avant la lettre	avanth la lettre	avand la lettre
babi pangang	
bal masqué	
bami goreng	
bar mitswa	
basso continuo	
bat mitswa	bad mitswa
beau monde	beau monden	beau mondde
belle époque	bellen époque
benefit of the doubt	
bez. vnw.	
bezakt en bepakt	bezakt e bepakt	bezakth en bepakt	benzakt en bepakt	bijzakt en bepakt	bezakd en bepakt	bessakt en bepakt	bezax en bepakt	bezaqut en bepakt	bezacct en bepakt	baizakt en bepakt	bezact en bepakt
biecht horen	biecht-horen
big bang	
bij geruchte vernemen	bi-j geruchte vernemen	bij geruchten vernemen	bij geruchte vernemen	bei geruchte vernemen
bij machte	bij machten	bij machte
bij nachte	bij nachten	bij nachte
bitter lemon	
black box	black boks
black metal	
blind date	blind daten
blind vlieg	
blind vliegen	
blind vliegt	
blind vlogen	
blind vloog	
bloody mary	
boa constrictor	
bon mot	bont mot
bon ton	bont ton	bon tont	bon don
bon vivant	bont vivant
boulimia nervosa	
braak leggen	
brave hendrik	
breed lachend	breedlachend
broodje aap	
café chantant	
café noir	
camera obscura	
cannabis sativa	
capita selecta	
casu quo	
ceteris paribus	
chaise longue	
chateau migraine	
chef d'équipe	
chef de cuisine	chenf de cuisine	chef den cuisine	khef de cuisine	sshef de cuisine	chijf de cuisine	chef dij cuisine	gef de cuisine	chaif de cuisine
chili con carne	chilli con carne	khili con carne	chili kon carne	sshili con carne	gili con carne
civiel ingenieur	
close harmony	
close reading	
cola light	kola light
cold case	
cold turkey	
collect call	
coming man	
commedia dell'arte	
common rail	common rel
communis opinio	
compact camera	compactcamera
compact cassette	compact cassetten
compact disc	compact disk
conceptual art	
concours hippique	
conditio sine qua non	contditio sine qua non	condithio sine qua non	conditio ssine qua non	conditio sinen qua non	condditio sine qua non	konditio sine qua non	ssonditio sine qua non	conditio sinij qua non	condidio sine qua non	conditio schine qua non	conditio sine ka non	conditio sinai qua non	ceaunditio sine qua non	conditieau sine qua non
condition humaine	
consilium abeundi	
contradictio in terminis	conttradictio in terminis	conthradictio in terminis	contradicthio in terminis	contraddictio in terminis	kontradictio in terminis	contradiktio in terminis	ssontradictio in terminis	contradisstio in terminis	condradictio in terminis	contradicdio in terminis	ceauntradictio in terminis	contradictieau in terminis
cordon bleu	kordon bleu
cordon sanitaire	kordon sanitaire
corps diplomatique	korps diplomatique	corps diplomatiek
corpus delicti	
couleur locale	
coupe soleil	coupen soleil
coûte que coûte	coûthe que coûte	coûtte que coûte	coûten que coûte	koûte que coûte	ssoûte que coûte	coûtij que coûte	coûde que coûte	coûte k coûte	coûtai que coûte	ceauûte que coûte
crime passionnel	
crème au beurre	crèmen au beurre	krème au beurre	ssrème au beurre	crèmij au beurre	crèmai au beurre
crème brûlée	
crème de la crème	crèmen de la crème	crème den la crème	crème dde la crème	krème de la crème	ssrème de la crème	crèmij de la crème	crème dij la crème	crèmai de la crème	crème dai la crème	crème dede la crème
crème fraîche	
cum laude	cum lauden
cum suis	
curriculum vitae	
daarbij behorend	daarbij behorend	daarbij bijhorend
dalai lama	
dame blanche	
danse macabre	dansen macabre
dark horse	dark horsen
de bout hachelen	den bout hachelen	dde bout hachelen	dij bout hachelen	de boud hachelen	de bout hagelen	dai bout hachelen	dede bout hachelen
de dato	den dato	dij dato
de facto	den facto	dij facto
de hele bubs	den hele bubs	de helen bubs	de helle bubs	dde hele bubs	dij hele bubs	dai hele bubs	dede hele bubs
de hemel in prijzen	den hemel in prijzen	de henmel in prijzen	de hemenl in prijzen	de hemell in prijzen	dde hemel in prijzen	de hemel in prijzen	dij hemel in prijzen	de hijmel in prijzen	de hemijl in prijzen	dai hemel in prijzen	de haimel in prijzen	de hemail in prijzen	dede hemel in prijzen
de jure	den jure	dij jure
dementia praecox	
democratisch socialist	democratisch-socialistisch	sociaaldemocratisch
der keerlen god	denr keerlen god	dërs keerlen god	dder keerlen god	dijr keerlen god	dair keerlen god	deder keerlen god
deus ex machina	de-us ex machina	deuss ex machina	denus ex machina	deoes ex machina	ddeus ex machina	dijus ex machina	deijs ex machina	deusch ex machina	daius ex machina	dedeus ex machina
diabetes mellitus	
die en die	die e die	di-e en die	dien en die	die en dien	ddie en die	diij en die	dy en die	dy' en die	diai en die	di en die	die en di
dies natalis	diens natalis	dis natalis
direct mail	
direct marketing	
docking station	docking stadion
dolle mina	dollen mina
domme august	dommen august
domus Dei	domus Die	domus Dij
dood gewaand	
dood gewaande	dood gewaanden
dood wanen	dood-wanen	doodzwanen
door en door	door e door	doir en door	do-or en door	ddoor en door	deaur en door	deauor en door	doeaur en door
dramatis personae	dramatisch personae
drie tiende	drie tienden	drie diende
drie vierde	drie vierden	drie  vierde
drie vijfde	drie vijfden	drie  vijfde	drie vijfde
dubbele axel	dubbelen axel
due diligence	
döner kebab	
earl grey	
easy listening	
easy rider	easy ridder
eau de cologne	ea-u de cologne	enau de cologne	eau den cologne	eaoe de cologne	ijau de cologne	eau dij cologne	eaij de cologne	aiau de cologne
eau de toilette	ea-u de toilette	enau de toilette	eau den toilette	eau de toiletten	eaoe de toilette	ijau de toilette	eau dij toilette	eaij de toilette	aiau de toilette
een derde	een  derde	enen derde	een derden
een tiende	een  tiende	enen tiende	een tienden	een diende
een vierde	een  vierde	enen vierde	een vierden
een zesde	een  zesde	enen zesde	een zesden
eigener beweging	
en bloc	e bloc	en blok
en détail	e détail
en en	e en	en e	enen	enten	enden	enken
en face	e face	en fake
en masse	e masse
en plein public	e plein public	enn plein public	ijn plein public	ain plein public
en profil	e profil
enfant terrible	
entre nous	
er bekaaid van afkomen	er bekaed van afkomen	er beka-aid van afkomen	er bekaa-id van afkomen	enr bekaaid van afkomen	er benkaaid van afkomen	ërs bekaaid van afkomen	er bekaaidd van afkomen	ijr bekaaid van afkomen	er bijkaaid van afkomen	er bequaaid van afkomen	er beccaaid van afkomen	air bekaaid van afkomen	er baikaaid van afkomen	er becaaid van afkomen
er bij zeggen	er bij zegge	enr bij zeggen	ërs bij zeggen	er bij zeggen	ijr bij zeggen	air bij zeggen
eraan toe	eraan toen	eraan doe	eraan tout
erbij horen	erbij horen
erbij krijgen	erbij krijgen
erbij roepen	erbij roepen
erdoorheen krijgen	erdoorheen krijgen
ergens achter komen	erges achter komen	ergenss achter komen	enrgens achter komen	ergenns achter komen	ërsgens achter komen	ijrgens achter komen	ergijns achter komen	ergens achter komijn	erchens achter komen	ergensch achter komen	airgens achter komen	ergains achter komen	erggeens achter komen
ergens heen kijken	erges heen kijken	ergenss heen kijken	enrgens heen kijken	ergenns heen kijken	ergens henen kijken	ërsgens heen kijken	ergens heen kijken	ijrgens heen kijken	ergijns heen kijken	erchens heen kijken	ergensch heen kijken	airgens heen kijken	ergains heen kijken	erggeens heen kijken
ergens over praten	erges over praten	ergenss over praten	enrgens over praten	ergenns over praten	ërsgens over praten	ijrgens over praten	ergijns over praten	erchens over praten	ergensch over praten	airgens over praten	ergains over praten	erggeens over praten
ergens tegenover staan	erges tegenover staan	ergenss tegenover staan	enrgens tegenover staan	ergenns tegenover staan	ërsgens tegenover staan	ijrgens tegenover staan	ergijns tegenover staan	erchens tegenover staan	ergensch tegenover staan	airgens tegenover staan	ergains tegenover staan	erggeens tegenover staan
ergens vanaf willen	erges vanaf willen	ergens vanaf wille	ergenss vanaf willen	enrgens vanaf willen	ergenns vanaf willen	ërsgens vanaf willen	ijrgens vanaf willen	ergijns vanaf willen	erchens vanaf willen	ergensch vanaf willen	airgens vanaf willen	ergains vanaf willen	erggeens vanaf willen
eruit liggen	
et al.	ent al	et all
et alii	ent alii
et cetera	ent cetera
even groot	
even lang	
ex aequo	
ex cathedra	
ex dividend	ex-dividend
ex libris	
ex tempore	
ex tempore's	
ex temporeetje	temporeetje
ex voto	
extended family	
fair play	
fait accompli	
fancy fair	
fata morgana	
faux pas	faux pa's	faux pass
femme fatale	
feng shui	
filet americain	
filet d'anvers	
fin de siècle	fin den siècle	fin dij siècle
financieel directeur	
first lady	
first out	first oud
fiscaal jurist	
flat character	
force majeure	
free kick	freeskick
fruits de mer	fruiths de mer	fru-its de mer	fruitss de mer	fruits den mer	froeits de mer	fruits dij mer	fruids de mer	frijits de mer	fruitsch de mer	freuts de mer
frutti di mare	fruthti di mare	frutthi di mare	frutti di maren	froetti di mare	frudti di mare	frutdi di mare	frijtti di mare
full colour	
full house	full housen
gas geven	gas geve
gas- en lichtrekening	gas- e lichtrekening	gass- en lichtrekening	chas- en lichtrekening	gasch- en lichtrekening	ggeas- en lichtrekening
gefilte fisj	
gekke henkie	gekken henkie
gelijk op	gelijk op
gemengd dubbel	
gentleman's agreement	
gepokt en gemazeld	gepokt e gemazeld	gepokth en gemazeld	genpokt en gemazeld	gijpokt en gemazeld	chepokt en gemazeld	gepokd en gemazeld	gepeauct en gemazeld	gepox en gemazeld	gepoqut en gemazeld	gepocct en gemazeld	gaipokt en gemazeld	ggeepokt en gemazeld	gepeaukt en gemazeld	gepoct en gemazeld	gepokét en gemazeld
geruime tijd	geruime tijd
gestand blijven	gestand blijven
gestand doen	gestand doe
getuige à decharge	gethuige à decharge	getu-ige à decharge	gentuige à decharge	getuigen à decharge	getoeige à decharge	gijtuige à decharge	getuigij à decharge	chetuige à decharge	getuiche à decharge	geduige à decharge	getijige à decharge	geteuge à decharge	gaituige à decharge	getuigai à decharge	ggeetuige à decharge
ginkgo biloba	
glas in lood	glas in loot	glass in lood	gllas in lood	chlas in lood	glasch in lood	ggelas in lood
goed komen	goed komijn
golden delicious	
golden retriever	
gothic novel	
goud smeden	goudsmeden	goud-smeden
gouden eeuw	
grand café	
grand prix	
